date,Quezon,Davao Oriental,Zamboanga Del Norte,Davao Occidental,Occidental Mindoro,Ilocos Norte,Batangas,Surigao Del Norte,Agusan Del Norte,Eastern Samar
2021-01-01,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0
2021-01-04,1,0,0,0,0,0,0,0,0,0
2021-01-05,1,0,0,0,0,0,0,0,0,0
2021-01-06,1,1,0,0,0,0,0,0,0,0
2021-01-07,1,1,1,0,0,0,0,0,0,0
2021-01-08,1,1,2,0,0,0,0,0,0,0
2021-01-09,1,1,2,1,1,0,0,0,0,0
2021-01-10,1,1,2,1,1,0,0,0,0,0
2021-01-11,1,1,2,1,1,0,0,0,0,0
2021-01-12,1,1,2,2,1,1,0,0,0,0
2021-01-13,1,1,2,2,1,1,0,0,0,0
2021-01-14,1,1,2,2,1,1,0,0,0,0
2021-01-15,1,1,2,3,1,1,0,0,0,0
2021-01-16,1,2,2,3,1,1,1,0,0,0
2021-01-17,1,2,2,3,1,1,1,0,0,0
2021-01-18,1,2,2,3,1,1,1,0,0,0
2021-01-19,1,2,2,3,1,1,1,0,0,0
2021-01-20,1,2,2,3,1,1,1,1,1,1
2021-01-21,1,2,2,4,1,1,1,1,1,1